doi	Institution	Journal Title	Journal Discipline	Journal ISSN	Journal eISSN	Year
10.1007/s10021-017-0213-1	Lund University	Ecosystems	Life Sciences	1432-9840	1435-0629	2018
10.1007/s12035-018-0887-1	Karolinska Institute	Molecular Neurobiology	Biomedicine	0893-7648	1559-1182	2018
10.1007/s10910-017-0852-7	Karolinska Institute	Journal of Mathematical Chemistry	Chemistry	0259-9791	1572-8897	2018
10.1140/epja/i2018-12447-0	Uppsala University	The European Physical Journal A	Physics	1434-6001	1434-601X	2018
10.1140/epje/i2018-11615-x	Uppsala University	The European Physical Journal E	Physics	1292-8941	1292-895X	2018
10.1007/s10708-017-9836-1	Södertörn University	GeoJournal	Social Sciences	0343-2521	1572-9893	2018
10.1007/s11043-018-9382-3	Uppsala University	Mechanics of Time-Dependent Materials	Engineering	1385-2000	1573-2738	2018
10.1007/s10404-018-2046-4	Linköping University	Microfluidics and Nanofluidics	Engineering	1613-4982	1613-4990	2018
10.1007/s11356-018-1447-y	Uppsala University	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2018
10.1007/s13593-018-0489-3	Swedish University of Agricultural Sciences	Agronomy for Sustainable Development	Life Sciences	1774-0746	1773-0155	2018
10.1007/s00702-018-1854-8	Uppsala University	Journal of Neural Transmission	Medicine & Public Health	0300-9564	1435-1463	2018
10.1007/s00268-018-4492-2	Lund University	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2018
10.1007/s40263-018-0495-7	Linköping University	CNS Drugs	Medicine & Public Health	1172-7047	1179-1934	2018
10.1007/s10750-018-3553-8	Umea University	Hydrobiologia	Life Sciences	0018-8158	1573-5117	2018
10.1007/s40778-018-0118-8	Karolinska Institute	Current Stem Cell Reports	Life Sciences		2198-7866	2018
10.1007/s00268-018-4498-9	Karolinska Institute	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2018
10.1007/s41063-018-0037-z	Lund University	arktos	Earth Sciences	2364-9453	2364-9461	2018
10.1007/s10551-018-3828-z	Stockholm School of Economics	Journal of Business Ethics	Philosophy	0167-4544	1573-0697	2018
10.1007/s13280-018-1037-8	University of Gothenburg	Ambio	Environment	0044-7447	1654-7209	2018
10.1007/s00228-018-2429-1	Karolinska Institute	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2018
10.1007/s40368-018-0332-1	Karolinska Institute	European Archives of Paediatric Dentistry	Dentistry	1818-6300	1996-9805	2018
10.1007/s00787-018-1119-y	Karolinska Institute	European Child & Adolescent Psychiatry	Medicine & Public Health	1018-8827	1435-165X	2018
10.1007/s11934-018-0750-y	Lund University	Current Urology Reports	Medicine & Public Health	1527-2737	1534-6285	2018
10.1007/s10997-018-9404-1	Mälardalen University	Journal of Management and Governance	Business and Management	1385-3457	1572-963X	2018
10.1007/s00702-018-1847-7	Karolinska Institute	Journal of Neural Transmission	Medicine & Public Health	0300-9564	1435-1463	2018
10.1007/s40618-017-0818-4	University of Gothenburg	Journal of Endocrinological Investigation	Medicine & Public Health		1720-8386	2018
10.1007/s00268-018-4552-7	Lund University	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2018
10.1007/s11024-018-9348-2	Uppsala University	Minerva	Social Sciences	0026-4695	1573-1871	2018
10.1007/s10950-018-9734-0	Uppsala University	Journal of Seismology	Earth Sciences	1383-4649	1573-157X	2018
10.1007/s10456-018-9604-y	Linköping University	Angiogenesis	Biomedicine	0969-6970	1573-7209	2018
10.1007/s10933-018-0020-5	Umea University	Journal of Paleolimnology	Earth Sciences	0921-2728	1573-0417	2018
10.1007/s00586-018-5507-2	Karolinska Institute	European Spine Journal	Medicine & Public Health	0940-6719	1432-0932	2018
10.1007/s10344-018-1171-4	Swedish University of Agricultural Sciences	European Journal of Wildlife Research	Life Sciences	1612-4642	1439-0574	2018
10.1007/s10340-018-0965-1	Lund University	Journal of Pest Science	Life Sciences	1612-4758	1612-4766	2018
10.1007/s00208-018-1654-3	Royal Institute of Technology	Mathematische Annalen	Mathematics	0025-5831	1432-1807	2018
10.1007/s00228-018-2432-6	Karolinska Institute	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2018
10.1007/s11356-018-1463-y	Swedish University of Agricultural Sciences	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2018
10.1007/s00167-018-4857-y	Karolinska Institute	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018
10.1007/s10762-018-0470-x	Uppsala University	"Journal of Infrared, Millimeter, and Terahertz Waves"	Engineering	1866-6892	1866-6906	2018
10.1007/s10926-018-9759-9	Linköping University	Journal of Occupational Rehabilitation	Medicine & Public Health	1053-0487	1573-3688	2018
10.1007/s11663-018-1196-9	Royal Institute of Technology	Metallurgical and Materials Transactions B	Materials Science	1073-5615	1543-1916	2018
10.1007/s11307-018-1168-0	Karolinska Institute	Molecular Imaging and Biology	Medicine & Public Health	1536-1632	1860-2002	2018
10.1007/s11067-017-9375-9	Uppsala University	Networks and Spatial Economics	Economics	1566-113X	1572-9427	2018
10.1007/s10803-018-3482-4	Karolinska Institute	Journal of Autism and Developmental Disorders	Psychology	0162-3257	1573-3432	2018
10.1007/s10549-018-4690-5	Karolinska Institute	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2018
10.1007/s10663-018-9399-5	Blekinge Institute of Technology	Empirica	Economics	0340-8744	1573-6911	2018
10.1007/s11661-018-4497-3	Royal Institute of Technology	Metallurgical and Materials Transactions A	Materials Science	1073-5623	1543-1940	2018
10.1007/s11930-018-0139-4	Malmö University	Current Sexual Health Reports	Medicine & Public Health	1548-3584	1548-3592	2018
10.1007/s40831-018-0157-5	Lulea University of Technology	Journal of Sustainable Metallurgy	Environment	2199-3823	2199-3831	2018
10.1007/s10967-018-5757-9	Swedish University of Agricultural Sciences	Journal of Radioanalytical and Nuclear Chemistry	Chemistry	0236-5731	1588-2780	2018
10.1007/s11225-018-9785-9	Stockholm University	Studia Logica	Philosophy	0039-3215	1572-8730	2018
10.1007/s00415-018-8786-y	University of Gothenburg	Journal of Neurology	Medicine & Public Health	0340-5354	1432-1459	2018
10.1007/s00167-018-4846-1	Linköping University	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018
10.1007/s00167-018-4865-y	Linköping University	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018
10.1007/s00330-017-5297-7	Lund University	European Radiology	Medicine & Public Health	0938-7994	1432-1084	2018
10.1007/s00167-018-4845-2	University of Gothenburg	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018
10.1007/s00366-018-0589-3	Chalmers University of Technology	Engineering with Computers	Computer Science	0177-0667	1435-5663	2018
10.1007/s00203-018-1498-y	Swedish University of Agricultural Sciences	Archives of Microbiology	Life Sciences	0302-8933	1432-072X	2018
10.1007/s00894-018-3585-z	University of Boras	Journal of Molecular Modeling	Chemistry	1610-2940	0948-5023	2018
10.1007/s10934-018-0568-5	Lulea University of Technology	Journal of Porous Materials	Chemistry	1380-2224	1573-4854	2018
10.1007/s00232-018-0022-2	Royal Institute of Technology	The Journal of Membrane Biology	Life Sciences	0022-2631	1432-1424	2018
10.1007/s11665-018-3205-1	Royal Institute of Technology	Journal of Materials Engineering and Performance	Materials Science	1059-9495	1544-1024	2018
10.1007/s10694-018-0706-2	Lund University	Fire Technology	Engineering	0015-2684	1572-8099	2018
