"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"kth",2017,711,"10.1186/s40687-016-0091-8",TRUE,"Springer","Research in the Mathematical Sciences","2197-9847",NA,"2197-9847",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://link.springer.com/article/10.1186/s40687-016-0091-8",FALSE
"kth",2017,711,"10.1186/s40687-016-0092-7",TRUE,"Springer","Research in the Mathematical Sciences","2197-9847",NA,"2197-9847",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://link.springer.com/article/10.1186/s40687-016-0092-7",FALSE
"kth",2017,3300,"10.15252/msb.20167422",FALSE,"EMBO","Molecular Systems Biology","1744-4292",NA,"1744-4292",NA,NA,TRUE,"28254760","PMC5371732",NA,"https://onlinelibrary.wiley.com/doi/abs/10.15252/msb.20167422",TRUE
"kth",2017,3300,"10.15252/msb.20177703",FALSE,"EMBO","Molecular Systems Biology","1744-4292",NA,"1744-4292",NA,NA,TRUE,"28827398","PMC5572395",NA,"https://onlinelibrary.wiley.com/doi/abs/10.15252/msb.20177703",TRUE
"kth",2017,1171,"10.3390/app7030301",FALSE,"MDPI","Applied Sciences","2076-3417",NA,"2076-3417",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"http://www.mdpi.com/2076-3417/7/3/301",TRUE
"kth",2017,929,"10.3390/app7121278",FALSE,"MDPI","Applied Sciences","2076-3417",NA,"2076-3417",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"http://www.mdpi.com/2076-3417/7/12/1278",TRUE
"kth",2017,1088,"10.3390/catal7050133",FALSE,"MDPI","Catalysts","2073-4344",NA,"2073-4344",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"http://www.mdpi.com/2073-4344/7/5/133",TRUE
"kth",2017,774,"10.3390/cryst7070222",FALSE,"MDPI","Crystals","2073-4352",NA,"2073-4352",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"http://www.mdpi.com/2073-4352/7/7/222",TRUE
"kth",2017,1255,"10.3390/e19050233",FALSE,"MDPI","Entropy","1099-4300",NA,"1099-4300",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"http://www.mdpi.com/1099-4300/19/5/233",TRUE
"kth",2017,1152,"10.3390/e19080394",FALSE,"MDPI","Entropy","1099-4300",NA,"1099-4300",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"http://www.mdpi.com/1099-4300/19/8/394",TRUE
"kth",2017,1255,"10.3390/e19110595",FALSE,"MDPI","Entropy","1099-4300",NA,"1099-4300",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"http://www.mdpi.com/1099-4300/19/11/595",TRUE
"kth",2017,1339,"10.3390/en10020247",FALSE,"MDPI","Energies","1996-1073",NA,"1996-1073",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"http://www.mdpi.com/1996-1073/10/2/247",TRUE
"kth",2017,1339,"10.3390/en10030313",FALSE,"MDPI","Energies","1996-1073",NA,"1996-1073",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"http://www.mdpi.com/1996-1073/10/3/313",TRUE
"kth",2017,1339,"10.3390/en10030338",FALSE,"MDPI","Energies","1996-1073",NA,"1996-1073",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"http://www.mdpi.com/1996-1073/10/3/338",TRUE
"kth",2017,1339,"10.3390/en10030379",FALSE,"MDPI","Energies","1996-1073",NA,"1996-1073",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"http://www.mdpi.com/1996-1073/10/3/379",TRUE
