institution	period	cost	doi	is_hybrid	publisher
slu	2015	1255,88	10.1371/journal.pone.0125139	FALSE	PLOS
slu	2015	1255,88	10.1371/journal.pone.0126021	FALSE	PLOS
slu	2015	1204,09	10.1371/journal.pone.0123173	FALSE	PLOS
slu	2015	1204,09	10.1371/journal.pone.0122492	FALSE	PLOS
slu	2015	1204,09	10.1371/journal.pone.0122875	FALSE	PLOS
slu	2015	1190,01	10.1371/journal.pone.0122241	FALSE	PLOS
slu	2015	1190,01	10.1371/journal.pone.0119957	FALSE	PLOS
slu	2015	1190,01	10.1371/journal.pone.0121237	FALSE	PLOS
slu	2015	1190,01	10.1371/journal.pone.0118896	FALSE	PLOS
slu	2015	1190,01	10.1371/journal.pone.0120570	FALSE	PLOS
